text
"진짜 온갖 간첩들이 문정권 시작하니깐 다 숨어있다 나 여기있어요 까꿍하네.문재인 패거리들 너 월북으로 만들어서 큰 그림 그릴려고 했지!니들은 이제 끝났어.아카페라 공연, 짜파게티 파티 학교가서 실컷하시고 니들은 여적죄로 사형당할 준비나 하고 있어"
햐 !! 정말. . . 이게. . 사람이냐??? 노무현이 재단은 뭐하는데냐??? 이런놈이 노무현재단 이사장???
내가 생각한 계몽군주가 맞는건지 확인하게되네요. 정말 이건 너무 하잖아요. 집권당에 공산사상이 얼마나 많았으면 이런 발언까지 서슴치않을까요. 김정은이 계몽군주 말이되나요??????
진짜 종북친중공산당간첩들은 모조리 감옥에넣어야된다 적국을 추종하는 주사파 리인영이 통일부장관 대북송금한 박쥐원이 국정원장이다 이게 나라냐
베트남 처럼 간첩아니라고 생각했던 간첩들이 도와서 공산화 될일만 남았다
"오전 8시 30분 첫 대면보고 받은 문재인 대통령은 이렇게 말했다,ㅡ국민이 알면 분노할것이다,,,< 이사람은 이 말한마디로 국군통수권자를 스스로 포기했다,,만약 정말 국군통수권자이면 자기가 먼저 분노해야 하고 자기가 어떤 조치라도 취해야하는데..이사람 말대로면 국민이 모든것을 결정하라는것이네.....이사람은 우리 대통령이아니고 북한과 우리국민사이에 중재자같은 표현을 했다,,,,이사람 퇴진운동 해야한다,,,미안하게 문재인 찍은사람이다,,,이미 스스로 국군통수권자를 포기한 사람이다,,"
아니...그렇게 북이 좋으면 그냥 다들 가면 되지..왜 자유민주주의 대한민국에 살면서 저러는지 모르겠네ㅡㅡ
민주주의 나라에 기생하는 배부른 공산 몽상가. 북쪽으로는 배고픈 인민은부정하고 남쪽으로는 배부른 재벌만 부정하는 더러운 기생충!!! 당신같은 사람이 깝치는 세상을 혼돈 이라한다 알것나 ! ! !
나이 50넘으면 뇌에 전두엽이상으로 정상적인 판단을 못합니다 그래서 정치를하면 안된다...본인이 하신말 그대로 돌려드립죠
노무현 대통령은 국민이 우선이였다 너처럼 북한 김정은이가 먼저가 아니고 니가 그러고도 재단이사장이냐??? 에라이 카악~~~퉷
이념에 매몰되면 저렇게 되는구나.. 휴.. 자국민에 총에맞아죽고 불태워져 소각됬습니다. 도대체 당신은 대한민국 국민이 맞습니까. 아니 지식인이기는 한겁니까. 진보가 맞습니까. 국민의 죽음을 그렇게 하잖게 생각하는 인간이였나요? 도대체 지금까지 무슨 쑈를 해온겁니까.
정말 인간도 아니네
유시민님 실망한지 오래 되었지만 이번 발언으로 진짜 많은걸 깨닫게 해주네요. 분단 국가에서 적국에게 계몽군주... 그정도 발언이면 그냥 간첩으로 보이네요.
"개성공단에서 북이 한국 자금들여 세운 건물 폭파쇼할때와 김여정이 한국 대통령보고 입에 담지 못할 비하성명 발표할땐 찍소리 안하더니, 6.25전쟁으로 이나라 수많은 국민을 죽이고 고통속에 살게 했던 김일정-김정일-김정은 세습 독재체제가 과거로부터 최근 개성공단 폭파사건까지 저지른 각종 만행에 대하여 먼저 민족에게 사죄하여야 마땅하거늘 미안하다는 통지문 한쪽에 계몽군주라... 죽은 공무원을 대신하여 묻는다. 노무현재단이사장의 하는 일은 무엇인가? 그 계몽군주라는 생각이 노무현 전 대통령님의 생각을 대변하는가? 우리아이들이 헷갈리겠다."
"문재인, 이해찬, 유시민 제발 북으로 꺼지길"
6.25때 나라 지키려다 돌아가신 우리 할아버지 생각하면 진심 미쳤구나미쳤어!!!
박근혜 탄핵때 썰전에 니가 있던거 다 계획이 있었구나? 난또 엄청 똑똑한줄 알았데. 진짜 사기당했네.. 이런 놈한테 사기당했어.. 아 대한민국 어쩌다 이 지경이 되었는가 ㅜㅜ
여러분 대깨문이 왜 정신병자인지 알겠죠??? 일베랑 뭐가 틀려요???? 일베보다 더 심한게 대깨문입니다
계몽군주는 전제군주에서 민주주의로 가기 전단계인 의회민주주의와 국민존중을 시작한 유럽의 황제들을 이야기하는 것 아닌가요 도대체 뭐가 계몽주의인가요 도대체 역사학 정치학 공부를 하기는 했나요
집시법 위반 데모쟁이 잡아가두면 악랄한 독재자 ㅋㅋㅋ조난당한 무고한 민간인 총쏴죽이면 위대한 계몽군주 ㅋㅋㅋ 뇌썩남 유시민
